Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee,Dam Sire Fee,
1,C,Instagrand,KY,,,1/8,10.3,11.8,36,53,,11.78,25.42,42.48,4,1.1,9 mph TW,83�,,Fair,3,"Pick View LLC, Agent XXXII",25OBSOCT $35K / 25OBSJAN ($15K) / 24KEENOV $3K,$8K 2026 / $7.5K 2023,$8.5K 2026 / $5K 2023,
2,C,Win Win Win,FL,,,1/8,10,11,34.1,50.1,,11.09,24.29,40.29,3,0.86,5 mph TW,78�,,Fair,18,"Golden Noguez, Agent",HB,$8.5K 2026 / $5K 2023,$30K 2026 / $50K 2023,
3,F,Violence,KY,,,,,,,,,,,,3,0.75,,,,,4,"Camelot Acres Racing and Sales, Agent II",25KEESEP $62K,$30K 2026 / $50K 2023,$45K 2026 / $100K 2023,
4,C,Munnings,FL,,,1/8,10,10.3,33.2,47.4,,10.79,23.48,37.98,3.67,0.86,0 mph,61�,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP ($70K),$45K 2026 / $100K 2023,"$25,850 2026 / $60K 2023",
5,F,Connect,KY,,,,,,,,,,,,4.33,0.88,,,,,5,"S B M Training and Sales, Agent III",25TTAYRL $40K,$10K 2026 / $25K 2023,$10K 2026 / $10K 2023,
6,F,American Pharoah,NY,,,1/8,10,10.2,33,47,,10.49,23.03,37.03,2.2,0.5,5 mph TW,76�,,Fair,9,"Sequel Bloodstock, Agent V",25KEESEP ($95K),"$25,850 2026 / $60K 2023",$30K 2026 / $25K 2023,
7,C,Drain the Clock,FL,,,1/8,10.1,10.9,33.4,48.2,,10.98,23.74,38.23,7,0.75,0 mph,61�,,Fair,5,"S B M Training and Sales, Agent III",HB,$10K 2026 / $10K 2023,$30K 2026 / $50K 2023,
8,C,ROADSTER,NY,,,1/8,10,10.4,33,47.4,,10.91,23.02,37.96,4.33,0.88,7 mph TW,76�,,Fair,1,"Kings Equine, Agent",25SARAUG $25K,$7.5K 2026 / $7.5K 2023,$20K 2026 / $7.5K 2023,
9,F,GIRVIN,KY,,,1/4,21.3,11.8,33.1,46.4,01:01.3,,11.73,25.23,3,0.5,1 mph TW,63�,,Fair,4,"Ocala Stud, Agent",25FTKJUL ($70K),$30K 2026 / $25K 2023,$4K 2026 / $4K 2023,
10,F,Maclean's Music,KY,,,1/8,10,10.3,33.1,47.2,,10.72,23.34,37.46,4.33,0.81,8 mph TW,78�,,Fair,12,"de Meric Sales, Agent XI",25KEESEP $20K / 24KEENOV $45K,$30K 2026 / $50K 2023,$25K 2026 / $45K 2023,
